image,rule_group,whiteness,edge,color,horizontal,texture
E:\RC11\term 2\draft\3.1\G1_structural_design\6809edf1d9.jpg,1,0.820115507,0.131333381,0.003963425,0.505215347,0.002646419
E:\RC11\term 2\draft\3.1\G1_structural_design\69488c34f9.jpg,1,0.866939545,0.099265672,0.005303509,0.527270317,0.00226496
E:\RC11\term 2\draft\3.1\G1_structural_design\6a7a64cd93.jpg,1,0.577281535,0.13962163,0.010062099,0.490333617,0.003321409
E:\RC11\term 2\draft\3.1\G1_structural_design\6b074409e9.jpg,1,0.855949044,0.175127864,0.003358665,0.521866918,0.004487949
E:\RC11\term 2\draft\3.1\G1_structural_design\6b19f64a59.jpg,1,0.900591075,0.094630033,0.001817083,0.521723509,0.002957223
E:\RC11\term 2\draft\3.1\G1_structural_design\6c7cfb1f1f.jpg,1,0.796190321,0.220727816,0.003280899,0.505345047,0.004286156
E:\RC11\term 2\draft\3.1\G1_structural_design\6d2b766dd7.jpg,1,0.778404951,0.103628896,0.009548057,0.507962942,0.002615254
E:\RC11\term 2\draft\3.1\G1_structural_design\6d50cf72d2.jpg,1,0.796179891,0.185303256,0.002273463,0.492108434,0.009923725
E:\RC11\term 2\draft\3.1\G1_structural_design\6e40b0f25e.jpg,1,0.865341783,0.115950137,0.002239907,0.512389898,0.003015275
E:\RC11\term 2\draft\3.1\G1_structural_design\6f406a3e50.jpg,1,0.889976442,0.117488295,0.001341916,0.50929296,0.001832578
E:\RC11\term 2\draft\3.1\G1_structural_design\6fdd1e541f.jpg,1,0.668465436,0.179050505,0.022953583,0.516558528,0.007733735
E:\RC11\term 2\draft\3.1\G1_structural_design\7078381e81.jpg,1,0.835249901,0.196185917,0.003551152,0.518584251,0.009191344
E:\RC11\term 2\draft\3.1\G1_structural_design\7086446156.jpg,1,0.79273051,0.224707574,8.10E-16,0.517445982,0.004816397
E:\RC11\term 2\draft\3.1\G1_structural_design\70cbf30ea0.jpg,1,0.286034644,0.08233691,0.014622668,0.501295686,0.000875008
E:\RC11\term 2\draft\3.1\G1_structural_design\74da9691c1.jpg,1,0.822565675,0.130871028,0.004245937,0.508500457,0.003875836
E:\RC11\term 2\draft\3.1\G1_structural_design\761ff1ffcb.jpg,1,0.683474243,0.093614548,0.000871238,0.50934577,0.001315939
E:\RC11\term 2\draft\3.1\G1_structural_design\771ee38347.jpg,1,0.863859415,0.111569501,0.002843252,0.512278557,0.001417374
E:\RC11\term 2\draft\3.1\G1_structural_design\793f75305b.jpg,1,0.895210147,0.109907955,0.001027263,0.500398457,0.00148611
E:\RC11\term 2\draft\3.1\G1_structural_design\7b17d96a18.jpg,1,0.896814823,0.097901158,0.003009947,0.551278651,0.002931025
E:\RC11\term 2\draft\3.1\G1_structural_design\7d67f7ea3f.jpg,1,0.88514334,0.085502945,0.004471743,0.486373395,0.001160301
